Wrongful death suit filed against top NBA pick Brandon Miller	The mother of a woman killed near the University of Alabama in January has filed a wrongful death lawsuit in federal court against Charlotte Hornets rookie Brandon Miller and two other men.	unrelated
Nolte: Taylor Swift Humiliates Hollywood Again -- Trounces Leo’s ‘Flower Moon’	Nolte: "Taylor Swift: The Eras Tour" grossed another $32 million, humiliating Leonardo Di Caprio’s "Killers of the Flower Moon," which debuted to just $22 million.	music
Funflation': Most Americans Cutting Back on Amusement Parks, Live Entertainment as Prices Soar Under Biden	Nearly 60 percent of Americans are cutting back on spending on live entertainment -- including amusement parks, rock concerts, and the performing arts -- as prices continue to soar through the roof, according to a new survey of 1,000 individuals conducted by …	unrelated
Gwyneth Paltrow intends to 'literally disappear'; Taylor Swift 'protected and cherished' by Travis Kelce	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.	relationship
Ben Simmons has his health and old job back. Now Nets need to see his old game	Reinstalled as point guard, Ben Simmons has been moving quickly and decisively again in the preseason after playing just 42 games the last two seasons. It gives the Nets hope.	unrelated
Chiefs’ Travis Kelce loses 'friendly wager,' dons Iowa State mascot headgear: 'Go Cyclones'	Kansas City Chiefs All-Pro tight end Travis Kelce attended his Friday press conference wearing the headgear of the Iowa State mascot after losing a "friendly wager"	unrelated
Boomers were right! 5 things about adulting no one wants you to know	Every generation thinks it's cornered the market on brains, but you have to know what to do with them. Which is why wisdom matter. So let me offer some.	unrelated
A movie theater staffer describes what it was like to work Taylor Swift's Eras Tour film premiere, which was so loud it blew out 2 amps	Taylor Swift's Eras Tour film was so loud it blew the sound system in one theater.	music
Taylor Swift and Travis Kelce, Gwen Stefani and Blake Shelton bring the romance: PHOTOS	Taylor Swift and Travis Kelce were spotted together at a "Saturday Night Live" after-party, and Blake Shelton supported Gwen Stefani at her Hollywood Walk of Fame ceremony.	relationship
Sixers will start regular season without James Harden 'unless something changes'	The Philadelphia 76ers finished their entire preseason schedule without James Harden playing for them.	unrelated
Despite three red-zone fumbles, Falcons still beat Bucs to grab first place	Both teams struggled near the goal line, but Atlanta hit a field goal as time expired to beat the Bucs and move into first place in the NFC South.	unrelated
Taylor Swift sports Travis Kelce's football jersey number on friendship bracelet at Chiefs game	Taylor Swift showed NFL fans how to support a player by wearing Travis Kelce's football jersey number on a friendship bracelet while watching Chiefs game.	NFL
Travis Kelce's big day with Taylor Swift in attendance helps Chiefs to huge win over Chargers	Travis Kelce had a dominant performance with his rumored girlfriend, Taylor Swift, in the building during the Kansas City Chiefs' big win on Sunday.	relationship
11 photos of Taylor Swift going through all the emotions watching Travis Kelce at the Chiefs game	Waving to fans, celebrating and more for Taylor Swift in her return to Arrowhead Stadium.	relationship
Browns edge Myles Garrett dominates in win over Colts: 'Man, 95 is a problem'	Myles Garrett's Sunday: nine tackles, two sacks, two forced fumbles, a pass breakup and a blocked field goal. Oh, and the Browns won 39-38.	unrelated
Taylor Swift, Brittany Mahomes show off new handshakes amid monster half for Patrick Mahomes, Travis Kelce	Taylor Swift and Brittany Mahomes, the wife of star quarterback Patrick Mahomes, showcased their new touchdown handshake as their budding friendship continues.	miscellaneous
NFL Week 7 top viral moments: LeBron James, Taylor Swift celebrate National Tight Ends Day	There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!	NFL
Taylor Swift returns to Arrowhead stadium to cheer on Travis Kelce	This is the fifth time Swift has been seen cheering on Kansas Chiefs tight end Travis Kelce and the defending Super Bowl champions.	relationship
Jay Glazer: Cardinals want to build around Kyler Murray, not trade him	NFL insider Jay Glazer joined David Helman to discuss Kyler Murray trade rumors on another segment of "Ask Glazer" on the "NFL on FOX Pod"	unrelated
Taylor Swift: The Eras Tour' tops domestic box office for 2nd week	Killers of the Flower Moon' eclipsed by 'Taylor Swift: The Eras Tour' domestically, but debuts at No. 1 globally.	music
Video: Taylor Swift, Brittany Mahomes Celebrate With Handshake at Chargers vs. Chiefs	Kansas City Chiefs wide receiver Marquez Valdes-Scantling wasn't the only one excited to see Patrick Mahomes throw his first deep touchdown pass of the season…	miscellaneous
CBS actually broke out a hilarious graphic about Travis Kelce's stats with Taylor Swift in attendance	Incredible work. No notes.	relationship
NFL Week 7 top viral moments: LeBron James loves big days from Myles Garrett, Lamar Jackson	There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!	unrelated
Browns' PJ Walker leads controversial game-winning drive to defeat Colts on the road	Cleveland Browns quarterback P.J. Walker, playing for the injured Deshaun Watson, led a controversial game-winning drive over the Indianapolis Colts on Sunday.	unrelated
Taylor Swift sports new friendship bracelet with beau Travis Kelce’s jersey number on it at Chiefs game	This is basically the 2023 version of wearing a letter jacket, right?	relationship
Taylor Swift and Brittany Mahomes shared a silly pregame dance in the duo’s return to KC	Taylor Swift and Brittany Mahomes had some adorable fun in their return to Arrowhead Stadium.	miscellaneous
Taylor Swift spotted at Chiefs-Chargers game at Arrowhead Stadium	Taylor Swift has touched down in Kansas City to attend the Chiefs' home game against the Chargers.	relationship
Taylor Swift is still in her (Chiefs) Red era with latest appearance supporting Travis Kelce at football game | CNN	In a surprise to absolutely nobody, Taylor Swift was back in Kansas City on Sunday to support Travis Kelce at his football game.	relationship
NFL Week 7 Top viral moments: LeBron James loves big days from Myles Garrett, Lamar Jackson	There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!	unrelated
Taylor Swift takes in Chargers-Chiefs at Arrowhead in Week 7	Taylor Swift is back at Arrowhead Stadium for the second week in a row to watch the Los Angeles Chargers take on the Kansas City Chiefs.	relationship
Taylor Swift watches football with former NFL quarterback Bernie Kosar before attending Chiefs game	Taylor Swift is back at Arrowhead Stadium to catch her rumored beau Travis Kelce, but before attending the game, she watched the early games with Bernie Kosar.	NFL
Lamar Jackson Leads the Best Performers of Week 7 in the NFL	Quarterbacks took the stage again this week, leading their teams to victory.	unrelated
Taylor Swift was the soundtrack to my Killers of the Flower Moon screening	Did you hear Taylor Swift: The Eras Tour while trying to watch Martin Scorsese’s latest movie? You aren’t alone.	miscellaneous
The Philadelphia Eagles' signature 'tush push' is effectively driving its critics mad	Philadelphia and Jalen Hurts beat the Miami Dolphins on Sunday. The Eagles' only crime with its "brotherly shove" is making football fourth downs less dramatic.	unrelated
Mom's creepy-cool Taylor Swift Halloween display goes viral on TikTok	A Wisconsin mom has gone viral after she shared her creative Taylor Swift Eras Tour Halloween decor with fellow "Swifties" on TikTok, reaching millions of people.	viral_moment
Travis Kelce dazzled in Week 7. Is he 'showing off' for Taylor Swift?	Travis Kelce had a huge 179-yard performance in Week 7, making some NFL fans wonder if he's "showing off" for Taylor Swift. And maybe that's a good thing.	NFL
Taylor Swift kisses Travis Kelce on the cheek in Instagram photo	Taylor Swift and Travis Kelce are getting just a little bit more cozy in a new snap that has fans buzzing.	viral_moment
Chiefs' Travis Kelce has been taking his play to a new level with Taylor Swift in the house	Kansas City Chiefs tight end Travis Kelce has been taking his play to a new level whenever Taylor Swift is in the house	relationship
Taylor Swift kisses Travis Kelce following Kansas City Chiefs game	Taylor Swift and Travis Kelce's romance heats up as a new photo of the pop star kissing the NFL tight end's cheek surfaced after she attended Sunday's Kansas City Chiefs game.	NFL
NFL Week 7 Winners and Losers: Eagles Slow Down Dolphins Offense in SNF Win	The Eagles managed to mostly contain the top-ranked Dolphins offense in a 31-17 win on Sunday Night Football.	unrelated
Travis Kelce trying to impress Taylor Swift is GREAT for Chiefs | What’s Wright?	The Kansas City Chiefs were able to take care of business against the Los Angeles Chargers, soundly defeating them at home in Arrowhead 31-17. So how do Patrick Mahomes’ Chiefs avoid complacency with that challenge out of the way? Nick Wright points to one fa…	miscellaneous
Travis Kelce's dad says he's impressed by Taylor Swift after meeting pop star	Despite Travis Kelce joking that his father meeting Taylor Swift was "terrifying," Ed Kelce reportedly had a great first impression of the pop star.	miscellaneous
Taylor Swift fans aren't going to be happy with Terry Bradshaw's Eras Tour lip sync theory	Taylor Swift fans might have some beef with Terry Bradshaw over this one.	miscellaneous
Are you washing your jeans enough? — plus Kirk Cameron's powerful plea	The Fox News Lifestyle Newsletter brings you trending stories on family, travel, food, neighbors helping neighbors, pets, autos, military veterans, heroes, faith and American values.	unrelated
Taylor Swift secures Travis Kelce's dad's stamp of approval in glowing review: 'Very special'	Taylor Swift seemingly earned a stamp up of approval from new beau Travis Kelce's father. Ed Kelce shared insight into his relationshipwith the pop star in a new interview.	relationship
Taylor Swift Effect: Chiefs 5-0, 4-1 ATS since star began attending Travis Kelce games	Travis Kelce and the Chiefs are on fire since superstar Taylor Swift started attending games. Patrick Everson talked to a long-time bookmaker about Kelce's props and how Swift has impacted the betting markets.	miscellaneous
Taylor Swift fans worry after she spends time with Jackson Mahomes, Britney Spears shares why she goes nude	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.	miscellaneous
What to Know About the Dolly Parton Event Hitting Theaters Soon	The first-listen event for Parton's new "Rockstar" album is set to land in theaters on November 15.	unrelated
Chiefs' Travis Kelce responds to Andy Reid's comments on the impact of Taylor Swift	Travis Kelce is thankful for coach Andy Reid's approval of the presence of Taylor Swift at Chiefs games: "You know you're doing something right."	miscellaneous
